10000	760	5	1512962735943
10000	925	3	1512962737114
10000	758	1	1512962738177
10000	38	1	1512962739489
10000	434	5	1512962740153
10000	175	5	1512962740864
10000	931	1	1512962741417
10000	1210	5	1512962742032
10000	264	5	1512962743167
10000	179	3	1512962743720
10000	928	5	1512962744287
10000	523	5	1512962745382
10000	783	1	1512962746086
10000	785	5	1512962746733
10000	1593	1	1512962747557
10000	616	5	1512962748229
10000	467	1	1512962748829
10000	1673	5	1512962749508
10000	925	5	1512962750908
10000	1518	3	1512962751675
